URL,Content
/t5/Announcements/PTC-v71-Release-Thread/ba-p/1248876,"The Public Test Channel (PTC) for Quest v71 is starting to roll out soon for Meta Quest 2, Meta Quest Pro, and Meta Quest 3. If you're seeing an issue or bug after updating to PTC v71: 1) For issues: Go to our Get Help board and search for any existing thread on the issue, if you don't find one, make a new thread. Please add the tag ""PTC v71"" to the thread and in the title. This way everyone can look for just PTC v71 issues too. 2) For bugs: If you come across a bug, please post each one you spot in its own thread, to keep track of individual issues separately. Share your impressions in the comments below and let us know if you see any issues. Please make sure to also send in bug reports along with posting on the forums if you notice anything going wrong. We know it's tough when you run into a problem on a PTC build and want to thank you all again for testing out PTC and sharing your feedback! This feedback is extremely helpful to our engineering teams. We appreciate your interest and persistence in testing out the core functionality of software as we develop!"
/t5/Announcements/Meta-Quest-build-v69-release-notes/ba-p/1237980,"Woohoo! v69 is starting to roll out! These features and enhancements will become available starting the week of September 5, 2024 and will be pushed to Meta Quest 3, Meta Quest Pro and Meta Quest 2 headsets. Required update for Meta Horizon social experiences Beginning in October, v69 will be required for those enjoying Meta Horizon social experiences such as Horizon Worlds, Horizon Workrooms, and co-presence. Those who have not yet upgraded will be prompted to update to v69 before they can access these experiences. “Hey Meta” wake word on Meta Quest We’ve introduced a new way to invoke Meta AI by using your voice. When you turn on this feature in Meta AI Settings, you can say “Hey Meta” to engage with the assistant. Learn more about Meta AI assistant . Window layout In v67, we announced a new window layout for Meta Quest that was accessible from the Experimental Settings. Now in v69, this window layout will be turned on for everyone. Spatial audio for windows Audio from select windows will sound like it's coming from those windows' locations around you, which can provide richer and more realistic audio. This does not affect audio within fully immersive apps. Remove apps from Library Take care of visual clutter in your library with the ability to completely remove unwanted apps and worlds, including leftover apps that you’ve already uninstalled. Select “Remove from library” from the app or world’s library menu and make it easier to find and access your content. Bluetooth quick pairing You can now quickly pair supported Bluetooth devices like headphones, keyboards, mice, and gamepads when they’re in pairing mode and near your headset. Turn on [Get nearby device notifications] in your Bluetooth settings to get notified when a nearby device is available for pairing, and select the notification to pair. Seamless multitasking You can now multitask more effectively by keeping the universal menu and up to three windows open during immersive experiences. This can be used to look up information, watch videos, or chat with friends while staying engaged with your immersive games and apps. Seamless Multitasking can be enabled in Experimental Settings. Content-adaptive backlight control Improves contrast and battery life by adjusting the backlight of your headset based on the content you’re viewing. Boundary improvements Your boundary is more dynamic now with frictionless access to Meta Horizon Home. By automatically placing you into a stationary boundary when you visit your Home, you’ll no longer have to repeatedly find or create a room scale boundary. You’ll still be asked to create a room scale boundary when you open immersive experiences that require them. Head tracked cursor interaction improvements Improves the behavior of the head tracked cursor to stay hidden when it’s not wanted, such as watching a movie or using 2D apps, and appears when you need it. Permissions history You are now able to view the last 7 days of sensitive permission access by installed apps through a new panel within your Settings. Privacy settings updates We are making privacy settings easier to use with Meta Horizon Worlds, and simplifying settings for everyone in a few ways: Control your privacy across Meta Quest and Horizon Worlds in a more unified way. Control your visibility and status from the social tab. Stylus support Tracked stylus devices including Logitech MX Ink can now be used to interact with the universal menu. You can learn how to use it, configure its button mapping, and adjust its pressure sensitivity in Stylus settings. Horizon Home: Oceanarium Escape to the Oceanarium, our latest Horizon Home. Immerse yourself in an underwater world filled with seaweed and anemones that flow with the gentle ocean currents. Get up close and personal with sea turtles, manta rays, and even a majestic whale while you experience the beauty of the ocean like never before."
/t5/Announcements/PTC-v69-Release-Thread/ba-p/1228094,"The Public Test Channel (PTC) for Quest v69 is starting to roll out soon for Meta Quest 2, Meta Quest Pro, and Meta Quest 3. If you're seeing an issue or bug after updating to PTC v69: 1) For issues: Go to our Get Help board and search for any existing thread on the issue, if you don't find one, make a new thread. Please add the tag ""PTC v69"" to the thread and in the title. This way everyone can look for just PTC v69 issues too. 2) For bugs: If you come across a bug, please post each one you spot in its own thread, to keep track of individual issues separately. Share your impressions in the comments below and let us know if you see any issues. Please make sure to also send in bug reports along with posting on the forums if you notice anything going wrong. We know it's tough when you run into a problem on a PTC build and want to thank you all again for testing out PTC and sharing your feedback! This feedback is extremely helpful to our engineering teams. We appreciate your interest and persistence in testing out the core functionality of software as we develop!"
/t5/Announcements/Meta-Quest-mobile-app-is-getting-a-new-name-and-look/ba-p/1220439,"We’ve been making our mobile app better so you can explore experiences easier than ever, right from your phone. Here’s what’s new: Dynamic self-expression : Easily refresh your avatar with regularly updated personalization options directly in the mobile app. Explore worlds from your phone: Now you can jump right into new experiences from your mobile app, making it easier to connect with friends over music, games and everything you love. Light mode: Introducing Light mode on the mobile app gives you a more accessible, comfortable and customizable viewing experience. You can update your look anytime from the settings menu in the app. Don’t worry, we aren’t removing any features or functionality from the current app. You can still manage your headset and browse 500+ mixed reality apps and games from the Meta Horizon mobile app. You may need to update your app from your mobile app store, on Android and iOS, to see the latest updates. Visit https://www.meta.com/blog/quest/horizon-mobile-app/ and our Help Center for more details."
/t5/Announcements/PTC-v68-Release-Thread/ba-p/1218151,"Thanks everyone for all your feedback on our previous builds, several bugs were identified in PTC v67 and the solutions for some have shipped, while others are on the way! The Public Test Channel (PTC) for Quest v68 is starting to roll out soon for Meta Quest 2, Meta Quest Pro, and Meta Quest 3. If you're seeing an issue or bug after updating to PTC v68: 1) For issues: Go to our Get Help board and search for any existing thread on the issue, if you don't find one, make a new thread. Please add the tag ""PTC v68"" to the thread and in the title. This way everyone can look for just PTC v68 issues too. 2) For bugs: If you come across a bug, please post each one you spot in its own thread, to keep track of individual issues separately. Share your impressions in the comments below and let us know if you see any issues. Please make sure to also send in bug reports along with posting on the forums if you notice anything going wrong. We know it's tough when you run into a problem on a PTC build and want to thank you all again for testing out PTC and sharing your feedback! This feedback is extremely helpful to our engineering teams. We appreciate your interest and persistence in testing out the core functionality of software as we develop!"
/t5/Announcements/Meta-Quest-build-v67-release-notes/ba-p/1215574,"These features and enhancements are becoming available starting this week of July 8, 2024 and are pushed to Meta Quest 3, Meta Quest Pro and Meta Quest 2 headsets. Please note that you can find the most up to date release notes on our release notes article and you can check out our v67 blog as well for more details. New window layout We’re adding the ability to move windows around when you have multiple apps open in your headset. You can reposition windows anywhere. You can also watch content on a large screen by selecting the theater view on any window’s control bar. You can find this feature under Experimental in Settings. Creator content in Horizon Feed We’re introducing new creator videos to Horizon Feed. You can connect with creators through reactions and sharing and jump into games and experiences directly from content in your Feed. If you are an active creator on other social networks and are interested in participating as a publisher, please let us know in the Meta Quest Community Discord . This feature is rolling out gradually Swipe Typing We’ve added the ability to use swipe typing to enter text when using your headset. Cut down on typing by sliding your finger or cursor from letter to letter to spell words. You can turn this feature on by going to Settings , then System , then Keyboard and selecting the toggle next to Swipe Typing . Eye tracking improvements (Quest Pro only) We’ve made further improvements to eye tracking on Quest Pro. For the most accurate eye tracking, you can always recalibrate by going to Movement tracking in Settings , then Eye tracking and selecting Calibrate next to Calibrate eye tracking . Do Not Disturb improvements We’ve made a number of improvements to the Do Not Disturb setting. You can now select different durations for Do Not Disturb. You can turn this feature on from Quick settings . If you have Do Not Disturb turned on, you can also control this feature from Notifications . Wi-Fi QR code scanner (Quest 3 only) You can now scan a Wi-Fi QR code to connect to a valid Wi-Fi network with your Quest 3 headset. To scan a QR code, go to Wi-Fi in Settings and tap Scan QR Code . Immersive media continuity You can now open Quest TV or use File Viewer to watch immersive videos without quitting your current immersive app."
/t5/Announcements/PTC-v67-Release-Thread/ba-p/1209832,"Thanks everyone for all your feedback on our previous builds, several bugs were identified in PTC v66 and the solutions for some have shipped, while others are on the way! The Public Test Channel (PTC) for Quest v67 is starting to roll out soon for Meta Quest 2, Meta Quest Pro, and Meta Quest 3. If you're seeing an issue or bug after updating to PTC v67 jump on over to our Get Help board and search for any existing thread, if you don't find one, make a new thread. Please add the tag ""PTC v67"" to the thread and in the title. This way everyone can look for just PTC v67 issues too. It's best if you can post each bug you spot in its own thread, to keep track of individual issues separately. Share your impressions and let us know if you see any issues. Please make sure to also send in bug reports along with posting on the forums if you notice anything going wrong. We know it's tough when you run into a problem on a PTC build and want to thank you all again for testing out PTC and sharing your feedback! This feedback is extremely helpful to our engineering teams. We appreciate your interest and persistence in testing out the core functionality of software as we develop!"
/t5/Announcements/Meta-Quest-build-v66-release-notes/ba-p/1209566,"These features and enhancements have already become available starting the week of June 3, 2024 and were pushed to Meta Quest 3, Meta Quest Pro and Meta Quest 2 headsets. Please note that you can find the most up to date release notes on our release notes article and you can check out our v66 blog as well for more details. Meta button on wrist When using hands, you can now add a Meta button to your wrist to easily open the universal menu by tapping it or recenter your view by holding it down. You can also use the Menu button on your other wrist to bring up the current experience’s in-app menu. You can try out this feature by enabling it from Experimental in Settings. Background audio and media controls You’ll now be able to launch a music app and listen to music while playing games or using other apps. When background audio is playing, you’ll see a new media control bar under the universal menu to control music playback. Press / on your right Touch controller to bring up the universal menu and media control bar. Family Center updates Teens and children supervised by the same parent or guardian will automatically be able to see each other in Family Center. Improved passthrough and mixed reality interactions (Quest 3 only) It’s now more natural to interact in mixed reality on Quest 3 with significantly reduced passthrough distortions and improved hand alignment. Hide apps in Library You can now hide any app (installed or uninstalled) you’ve downloaded from the Meta Quest Store to help clean up your Library. You can see apps you’ve hidden by selecting Hidden from the dropdown menu in the top right. Space Setup automatically captures furniture Space Setup will now automatically identify and mark furniture in your space to improve realism for MR games and apps. For now, this will work for windows, doors, tables, couches, storage, screens, and beds, with additional furniture types supported over time. Sleep mode added to power off menu When you press and hold the power button on your headset, you’ll now see an option to put your headset to sleep. Putting your headset to sleep and leaving it plugged in allows your headset and apps to update in the background, keeps your battery charged, and significantly reduces the amount of time it takes for your headset to turn on."
/t5/Announcements/Meta-Community-AMA-June-2024/ba-p/1203812,"It’s June 10th and we’re giving a start to another monthly AMA this week! This time around will be a general product questions one. Get questions ready that you’d like to get answered from our Meta Quest specialists. And if you need a reminder, here’s how the AMAs work: We’ll introduce the theme of our AMA and start a thread to gather your questions for the team. Once it is introduced, there will be a whole week of gathering questions and your kudos. The question’s most kudoed will be the ones to get answered. The team will answer the top 5 burning questions and we’ll post them as a top answer on the thread the following week. We’ll be creating a separate thread to gather questions here ! Without further ado, we’ll see you all in the AMA thread!"
/t5/Announcements/Batman-Arkham-Shadow-Debuts-Story-Trailer-and-New-Details-at/ba-p/1202778,"Hopefully you tuned into Summer Game Fest today for the reveal of the new Batman: Arkham Shadow trailer—but if not, don’t worry. You can find the new trailer on the blog: https://www.meta.com/blog/quest/batman-arkham-shadow-summer-game-fest-story-trailer"
