Game Title,Game Link,Review Text,Review Rating
Run,https://sidequestvr.com/app/37279/run,"Great. However, multiplayer and bigger map to switch to would make this 5 stars, although I guess you would need to add avatars for multiplayer which would require more dev. Thank you to your team.",4
Run,https://sidequestvr.com/app/37279/run,"Great start! Love the coin/diamond collecting, plus the environments look great. Makes doing a half hour/hour workout fly by. Wishlist to make it better: 1) allow player to mute in-game music 2) allow player to set (or simply increase the default) joystick turn speed, it's way too slow right now, makes it very difficult to tur if you're using a treadmill or elliptical where turning your physical body is not an option 3) if jogging in place, it's almost impossible to do so and remain stationary, the player inevitably inches forward when completely immersed in a virtual environment. One solution might be to add a MR passthrough window on the floor/underneath the player so you can tell if you're drifting forward",4
WinlatorXR,https://sidequestvr.com/app/37320/winlatorxr,"Pretty good, but I have some issues setting up joystics, for some reason Winlator XR doesnt allow me to edit or enable the joystics on my game nor my in the desktop. any help?",4
WinlatorXR,https://sidequestvr.com/app/37320/winlatorxr,Far Cry 1 works!,5
WinlatorXR,https://sidequestvr.com/app/37320/winlatorxr,How do i install the games,5
Beef Raider XR - Tomb Raider in VR,https://sidequestvr.com/app/38086/beef-raider-xr-tomb-raider-in-vr,"Hello, I think it's a great game. I'm a very, very big fan, but I feel in my soul that it's not in Spanish. It's possible one day.",5
Beef Raider XR - Tomb Raider in VR,https://sidequestvr.com/app/38086/beef-raider-xr-tomb-raider-in-vr,"Team Beef, you legends, you've done it again! Cant wait to see what treasures you port to the store offically :)",5
Beef Raider XR - Tomb Raider in VR,https://sidequestvr.com/app/38086/beef-raider-xr-tomb-raider-in-vr,"Great work! I drowned horribly but that was the way things were back with PS1 Tomb Raider too, so can't complain 🤣 love the choices of viewpoint, nice crisp graphics and 3D sound too!",5
Split Second,https://sidequestvr.com/app/37171/split-second,"Split Second is made ay a single developer that has put in some work on other games and has perfecting their craft. This is inspired by Ready Or Not and it shows big time here. The game is basically as the description shows, a tactical CQB shooter which puts you in multiple locations. Each locations has its own scenario which you can choose in a day or night cycle which I love. I was really impressed by how well the game runs and the layout of some of the levels. You truly must play the game slow and methodical in order to succeed. You can select from various weapons and customize them to your liking. The game does offer n endless mode where you can practice which is pretty fun and you can hone your skills nicely there. The game does need a little polish but the game is constantly being updated.",5
Split Second,https://sidequestvr.com/app/37171/split-second,amzing but should add sandbox,5
FortiCasa,https://sidequestvr.com/app/37703/forticasa,"This game is awesome!!! Its not free, but the demo is. I have already spent a couple of hours in this. Building turrets and buildings on my coffee table while minions on the groung coming to attack across my living room floor is just a very cool experience. Looking forward to see what they add to this later on. Nice job developers!!!",4
Green Zone,https://sidequestvr.com/app/35766/green-zone,"too little time for relaxation, but otherwise very exciting",5
Green Zone,https://sidequestvr.com/app/35766/green-zone,"very fun game, there is potential, they combined several modes, I will wait for updates and release from early access, I recommend buying",5
Green Zone,https://sidequestvr.com/app/35766/green-zone,It's incredible!!!,5
Car Racing Games - Car Games - Highway Speed Racing | Formula Racing Game,https://sidequestvr.com/app/36989/car-racing-games-car-games-highway-speed-racing-formula-racing-game,This is very nice game. I have played it almost 1hour. Controller is smooth and I can control my car even better from other games. I need you to add more competitors and cars and highways please. It worth downloading this game. I found this game through youtube. I want to see more cars in this game,5
Car Racing Games - Car Games - Highway Speed Racing | Formula Racing Game,https://sidequestvr.com/app/36989/car-racing-games-car-games-highway-speed-racing-formula-racing-game,"I've had the pleasure of playing both of your games on the same account, and I must say, your controllers are absolutely fantastic! The gameplay experience is smooth, responsive, and incredibly enjoyable. Keep up the great work, and I'm excited to see what you come up with next. Thanks for creating such awesome games!",5
Car Racing Games - Car Games - Highway Speed Racing | Formula Racing Game,https://sidequestvr.com/app/36989/car-racing-games-car-games-highway-speed-racing-formula-racing-game,I Love this Game,5
Q-Linq,https://sidequestvr.com/app/37172/q-linq,"VR adds another puzzler to its librayr with Q-LinQ. What I like about this one is its a matching game where you must match all the colorful orbs to each other which can be easy, and at times a challenge. You can speed up the revolving puzzle or slow it down to strategically place your orbs which makes it a bit easier and relaxing. The story is interesting as the whole thing plays out in an A.I. world with A.I. characters. Its the first time I have really seen the use of AI and its voice to make a whole story which I found very interesting. Worth a download if your into puzzlers, bright colors, and a scifi AI story!",4
Q-Linq,https://sidequestvr.com/app/37172/q-linq,"Welcome to Q-Linq, a brand new game from a solo developer, 4D4 Games. Q-Linq is a bubble-popping match 3 puzzle game where the player needs to match three or more bubbles to make them disappear. Q-Linq will be a fan favorite, mostly because it’s fairly easy to understand, simple to play, and entertaining. The levels are quick and with each passing level, you feel a sense of accomplishment. Q-Linq has bright colors and graphics that makes the game more enjoyable and interesting. There are two play options: story and arcade. The story mode takes you on a journey as a cadet training to power quantum engines. The goal of the story mode is to guide the player into learning and discovering more advanced mechanics that come along later in the story. The arcade promises endless replayability, literally, as it doesn’t have a level limit. This is a fun and addictive modern VR bubble-popping/match 3 puzzle game! It is well-polished and enjoyable for an App Lab game. Great job!",5
DuckHuntVR,https://sidequestvr.com/app/37628/duckhuntvr,"This VR game perfectly captures the nostalgia of retro gaming, brought to life with stunning realism. A must-play for anyone seeking a heartfelt blend of past and present",5
DuckHuntVR,https://sidequestvr.com/app/37628/duckhuntvr,Nostalgia.. :D,5
DuckHuntVR,https://sidequestvr.com/app/37628/duckhuntvr,Nostalgic to the max!,5
Galaxy Kart,https://sidequestvr.com/app/37176/galaxy-kart,Galaxy Kart has finally officially made its way to the Meta store and there are several reasons why. This is truly the Mario Kart in Virtual Reality that wee have wanted. There are a ton of tracks with several ways to race them and a ton of wacky characters to go with it. There are different vehicles to choose from which adds to the mayhem. I love how to you physically aim your power ups at your opponents to overtake them on the track too! This game will definitely make your bring your VR legs as there is some speed and a ton of movement while racing so just be careful if your not a VR Vet quite yet!,4
Galaxy Kart,https://sidequestvr.com/app/37176/galaxy-kart,"Galaxy Kart VR is a blast! I’m not usually into racing games because they make me super motion sick, but this one surprised me. The comfort settings really helped, so I could actually enjoy the chaos without feeling too queasy. The tracks are super fun, with crazy food-themed designs, and the power-ups like ketchup squirts and bombs keep things wild. The controls took a minute to get used to, but once I did, I was zooming all over the place. Definitely worth checking out!",5
Galaxy Kart,https://sidequestvr.com/app/37176/galaxy-kart,"As someone who firmly believes that speed and chaos go hand in hand, I recently dove into the wild world of Galaxy Kart VR, and let me tell you, it was like strapping a rocket to my childhood dreams (think Mario Kart)! I gathered my bravest friends for a multiplayer showdown, ready to see who could master the art of kart combat. From the moment we entered the game, I knew we were in for a treat. Each of the characters are eccentric, with skills that had us rolling on the floor with laughter. My friends and I couldn’t stop cracking jokes (and trash talking) as we tried to navigate the tracks while avoiding each other’s ridiculous power-ups. The multiplayer feature is where the real magic happens. The tracks themselves are beautifully designed, making you feel like you're zooming through a galaxy filled with colorful planets and ridiculous obstacles.",5
Crazy Taxi VR - Car Driving | Car Simulator,https://sidequestvr.com/app/36337/crazy-taxi-vr-car-driving-car-simulator,"I would so love a Crazy Taxi style game in VR or even a really good Taxi car game. You’re driving a Ferrari like car, zipping through the city, picking up passengers, and racing against time. The VR really pulls you in where you can almost feel the wind as you drift around corners and dodge traffic. The passengers are hilarious, throwing out lines like, Good Job, Wait wait wait, stop stop. It’s all about speed, crazy stunts, and having fun. The music’s high-energy, keeping you pumped the whole time. Have some suggestions make car more intractable, add pedestrian. Crazy Taxi will take you on a fun journey with a real driving experience!",5
Crazy Taxi VR - Car Driving | Car Simulator,https://sidequestvr.com/app/36337/crazy-taxi-vr-car-driving-car-simulator,"Give it a try, effective sounds and easy to control. an excited driving experience in vr.",5
